id,username,display_name,bio,url,followers,following,tweets,account_age_days,has_profile_image,has_banner,verified,label,label_text
1,nicole_fashion,Mike Photography,Coffee snob | Remote worker | Digital nomad wannabe,https://instagram.com/lisaart,49756,678,3600,554,True,True,False,0,real
2,promo_offers_daily,🎉 Daily Giveaways 🎉,Telegram: t.me/cryptoprofits | Join my channel for FREE trading signals!,https://linktr.ee/fakesignals,2153,3152,474,14,True,True,False,1,fake
3,steven_cooking,Tom Gaming,Dad jokes enthusiast | IT professional | Weekend warrior,,24573,127,9385,1800,True,False,False,0,real
4,grace_yoga,John Smith,Artist | Painter | Commissions open | Portfolio in link,,28607,260,7033,1394,True,True,False,0,real
5,emma_travels,Sarah Jones,Writer | Blogger | Sharing stories and experiences,https://johndoe.com,41367,1908,8957,2586,True,True,False,0,real
6,loooovecrypto,🚀🌙💰🔥⚡,Real account of famous trader | Verified by community | Only real account!,,1764,2549,299,13,False,True,False,1,fake
7,sophia_art,Megan 🐕,Outdoor adventurer | Hiker | Nature photographer,,46755,936,7105,3549,True,False,False,0,real
8,joshua_science,Daniel Sports Fan,Writer | Blogger | Sharing stories and experiences,https://medium.com/@emmawrites,26400,245,5441,1063,True,True,False,0,real
9,amanda_dance,Steven Cooks,Travel enthusiast 🌍 | 25 countries and counting | Photography,,19090,880,9742,1095,True,True,False,0,real
10,trading_derivatives,💸 Make $5000/Day 💸,24/7 customer support | Helpdesk | Message me on WA for instant help,https://linktr.ee/fakesignals,1721,2078,124,88,False,False,False,1,fake
11,joshua_science,Brian ☕,Travel enthusiast 🌍 | 25 countries and counting | Photography,,44992,1013,2189,2734,True,False,False,0,real
12,eth_btc_signals,💰 Forex Signals Expert 💰,Official page of CryptoKing | Global service | 24/7 trading signals worldwide,,159,8342,243,86,True,False,False,1,fake
13,stephanie_music,Sarah Jones,Student | Learning every day | Future engineer,https://rachelfitness.com,34278,1552,3679,2666,True,True,False,0,real
14,nft_profits_daily,Director of Global Trading,Crypto trader | Forex signals | Guaranteed profit | DM for investment plans 💰,https://cryptoprofit.com/signals,3346,7191,384,40,True,True,False,1,fake
