tweet_id,created_at,lang,text,raw_text,urls,shortener_url_present,mentions,hashtags,clickbait,anonymous_source,urgent_share,all_caps_headline,repeated_punct,conspiracy_phrase,vague_confirm,sensational_verb_claim,extreme_percent,misinfo_invite,numeric_rounding,fake_referral,emoji_plus_sens,mentioned_followers_count,mentioned_following_count,mentioned_growth,mentioned_rate,username,display_name,username_official,username_real,username_name_plus_numbers,username_many_digits,username_multi_underscore,username_fake_support,username_crypto_scam,followers_count,following_count,followers_following_ratio
1991880204286038505,2025-11-21T14:43:42+00:00,en,Congressional Coup Plot? Dems’ Sneaky Video Urges Military Mutiny Against Trump https://t.co/rfr3xVgMDR,Congressional Coup Plot? Dems’ Sneaky Video Urges Military Mutiny Against Trump https://t.co/rfr3xVgMDR,['https://t.co/rfr3xVgMDR'],True,[],[],False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,FloppingAces,Flopping Aces,False,False,False,False,False,False,False,37347,17250,2.1649179757695207
1991880193041113102,2025-11-21T14:43:40+00:00,en,"@PossiblyGwen @LaughTaleOSRS @jjreeves He really just bailed after that asinine comment that destroyed his argument immediately. To support the first half of his brain i will continue the thought. ""I'm not for breaking people down that find something difficult that I think is easy"".","@PossiblyGwen @LaughTaleOSRS @jjreeves He really just bailed after that asinine comment that destroyed his argument immediately. To support the first half of his brain i will continue the thought. ""I'm not for breaking people down that find something difficult that I think is easy"".",[],False,"['PossiblyGwen', 'LaughTaleOSRS', 'jjreeves']",[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,Dylannortski27,Flopadopolis,False,False,True,False,False,False,False,16,220,0.07239819004524888
1991880178696614247,2025-11-21T14:43:36+00:00,en,"#BREAKING

The doctor and psychoanalyst Gabor Maté, one of the Holocaust survivors: ""This ongoing daily cruelty that is indescribable... It is the darkest thing I have ever seen in my entire life."" https://t.co/K0mh58cSee","#BREAKING

The doctor and psychoanalyst Gabor Maté, one of the Holocaust survivors: ""This ongoing daily cruelty that is indescribable... It is the darkest thing I have ever seen in my entire life."" https://t.co/K0mh58cSee",['https://t.co/K0mh58cSee'],True,[],['BREAKING'],True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,8zal,❀ N ✿,False,False,False,False,False,False,False,6780,328,20.60790273556231
1991880176037433850,2025-11-21T14:43:35+00:00,en,breaking up with my bf to focus on what’s important (anorexia) https://t.co/DrMqInwygW,breaking up with my bf to focus on what’s important (anorexia) https://t.co/DrMqInwygW,['https://t.co/DrMqInwygW'],True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,lowcalliv,liv ꒰୨୧◞ 。,False,False,False,False,False,False,False,37,107,0.3425925925925926
1991880165690061084,2025-11-21T14:43:33+00:00,en,Breaking🚨:Reece James has played 46 matches in all competitions since his last return from injury https://t.co/ujid5yONTS,Breaking🚨:Reece James has played 46 matches in all competitions since his last return from injury https://t.co/ujid5yONTS,['https://t.co/ujid5yONTS'],True,[],[],True,False,False,False,False,False,False,False,False,False,True,False,False,,,,,josephhorlan,I_@m_Sepp,False,False,False,False,False,False,False,5564,3540,1.5713075402428693
1991880156231942465,2025-11-21T14:43:31+00:00,en,Congress breaking up. https://t.co/srkB6Q7o7h,Congress breaking up. https://t.co/srkB6Q7o7h,['https://t.co/srkB6Q7o7h'],True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,yogashar99,Yogesh 🇮🇳,False,False,True,False,False,False,False,4612,3493,1.319977103606182
1991880151026872484,2025-11-21T14:43:30+00:00,en,"This isn’t just tech, it’s economical.

Decentralization makes AI training cheaper and more accessible breaking Big Tech’s monopoly over advanced AI models.
3/6🧵","This isn’t just tech, it’s economical.

Decentralization makes AI training cheaper and more accessible breaking Big Tech’s monopoly over advanced AI models.
3/6🧵",[],False,[],[],True,False,False,False,False,False,False,False,False,False,True,False,False,,,,,ByronDrift,ByronDrift,False,False,False,False,False,False,False,539,860,0.6260162601626016
1991880139639337197,2025-11-21T14:43:27+00:00,en,@SenSchumer for all you Soy Boy F Agg Otz‼️ How is America suppose to arrive without help.  China is breaking us apart and they will win‼️ https://t.co/u7oCLfBZHu,@SenSchumer for all you Soy Boy F Agg Otz‼️ How is America suppose to arrive without help.  China is breaking us apart and they will win‼️ https://t.co/u7oCLfBZHu,['https://t.co/u7oCLfBZHu'],True,['SenSchumer'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,AshtonPhoeniXXX,Ashton Phoenix,False,False,False,False,False,False,False,122,972,0.12538540596094552
1991880136518783313,2025-11-21T14:43:26+00:00,en,"@AttorneyCrump Of course, they are taking legal action. If they aren't fighting, they are suing. A fight breaking out is a big problem for any business.","@AttorneyCrump Of course, they are taking legal action. If they aren't fighting, they are suing. A fight breaking out is a big problem for any business.",[],False,['AttorneyCrump'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,Linda2817590901,Linda,False,False,False,True,False,False,False,716,620,1.1529790660225443
1991880118097068205,2025-11-21T14:43:22+00:00,en,"@StandUpForTrmp @Doug76478718 @AGPamBondi and @DAGToddBlanche are actively stalling any progress being made because they, along with many in Trump’s circle, don’t want him to succeed. Nothing is going to be accomplished. We have RINOs running the DOJ, RINOs running the Senate, RINOs constantly breaking ranks,","@StandUpForTrmp @Doug76478718 @AGPamBondi and @DAGToddBlanche are actively stalling any progress being made because they, along with many in Trump’s circle, don’t want him to succeed. Nothing is going to be accomplished. We have RINOs running the DOJ, RINOs running the Senate, RINOs constantly breaking ranks,",[],False,"['StandUpForTrmp', 'Doug76478718', 'AGPamBondi', 'DAGToddBlanche']",[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,AKsciencegrl,amy 🇺🇸🦅🦕,False,False,False,False,False,False,False,3146,3692,0.8518819388031411
